TimestepsSoFar,EpisodesSoFar,loss_ent,TimeElapsed,loss_pol_surr,EpThisIter,EpLenMean,loss_kl,EpRewMean,loss_vf_loss,ev_tdlam_before,loss_pol_entpen
733184,1112,1.0302206,1177.9968378543854,-0.026553478,5,721.66,0.008257028,0.23,0.019094156,0.9059958681464195,0.0
737280,1117,1.0335492,1182.8399901390076,-0.023939418,5,722.62,0.0072378116,0.17,0.020562192,0.9088392779231071,0.0
741376,1124,1.0483669,1187.2298209667206,-0.02173893,7,721.56,0.0076659764,-0.1,0.018176608,0.9154499545693398,0.0
745472,1129,1.0718448,1191.3852171897888,-0.02335104,5,725.82,0.007916199,-0.17,0.019536737,0.9080954194068909,0.0
749568,1134,1.0195899,1195.636610031128,-0.019749776,5,724.18,0.007544044,-0.09,0.015213687,0.9253719300031662,0.0
753664,1140,1.0044678,1200.1221420764923,-0.023471106,6,724.21,0.006761152,0.0,0.021939622,0.8863681852817535,0.0
757760,1146,1.0016077,1204.6744720935822,-0.023138318,6,730.57,0.0096609695,0.24,0.017194463,0.9241817742586136,0.0
761856,1151,0.9918802,1209.2009999752045,-0.024551451,5,733.4,0.00812412,0.17,0.024457114,0.8733404278755188,0.0
765952,1157,1.0108029,1213.626960992813,-0.024141954,6,731.91,0.008220257,0.05,0.023179367,0.8893687799572945,0.0
770048,1163,0.99900895,1217.8213891983032,-0.025987674,6,734.43,0.00853972,-0.06,0.019856596,0.9028550162911415,0.0
774144,1169,1.0348479,1222.1311650276184,-0.022052204,6,733.98,0.006861917,-0.23,0.017062986,0.8971525579690933,0.0
778240,1174,1.0029638,1226.511195898056,-0.02361861,5,732.61,0.007914727,-0.28,0.015057959,0.9288707375526428,0.0
782336,1180,1.0035406,1230.8021790981293,-0.021681355,6,730.98,0.007435491,-0.26,0.017174125,0.9246446490287781,0.0
786432,1185,1.0707433,1235.3042929172516,-0.025643434,5,736.34,0.0082469825,-0.22,0.015590475,0.9197952523827553,0.0
790528,1191,1.0026015,1239.6544480323792,-0.024511747,6,733.06,0.008623295,-0.32,0.016048007,0.9113372415304184,0.0
794624,1196,1.0038531,1244.347491979599,-0.022800356,5,726.38,0.008497733,-0.43,0.017126178,0.910086378455162,0.0
798720,1202,0.9505997,1248.8216798305511,-0.021622784,6,728.25,0.008147843,-0.43,0.020660134,0.9221973791718483,0.0
802816,1207,0.99976945,1314.2434239387512,-0.024470221,5,733.84,0.009994887,-0.55,0.019030144,0.8914485573768616,0.0
806912,1212,0.96614176,1318.5689098834991,-0.025341865,5,739.3,0.009106675,-0.42,0.017631715,0.8906514123082161,0.0
811008,1217,0.9281285,1322.8876390457153,-0.023429524,5,738.34,0.00912956,-0.35,0.01790694,0.8803906738758087,0.0
815104,1223,0.97276163,1327.468910932541,-0.02170983,6,742.17,0.0067019938,-0.23,0.020700047,0.8666400164365768,0.0
819200,1228,0.993856,1331.8971238136292,-0.023423605,5,743.11,0.007545895,-0.14,0.022211827,0.8725404739379883,0.0
823296,1234,1.0206444,1336.3026130199432,-0.020521585,6,738.79,0.009130046,-0.22,0.020380365,0.9117646887898445,0.0
827392,1239,1.0056192,1340.7786231040955,-0.023138253,5,744.52,0.00685515,-0.22,0.011222368,0.9327154234051704,0.0
831488,1245,0.9705009,1345.421823978424,-0.02092283,6,743.11,0.008439108,-0.08,0.01483172,0.9153500869870186,0.0
835584,1251,0.95395887,1350.311075925827,-0.024423636,6,741.83,0.008561173,-0.11,0.020275744,0.9015860483050346,0.0
839680,1255,0.98171043,1355.1953809261322,-0.024714913,4,749.47,0.008353106,-0.12,0.017977187,0.9016920402646065,0.0
843776,1260,1.0184964,1360.035140991211,-0.025237786,5,757.26,0.007871922,-0.04,0.0146270245,0.9288438558578491,0.0
847872,1267,0.94792104,1364.5858387947083,-0.022842517,7,749.75,0.0073485356,0.07,0.01938993,0.8885261341929436,0.0
851968,1272,0.95853853,1369.1078209877014,-0.023905462,5,753.19,0.0071087517,0.14,0.019437281,0.9121129587292671,0.0
856064,1278,0.9789629,1373.565418958664,-0.022581222,6,757.95,0.008335279,0.16,0.020783637,0.8999591693282127,0.0
860160,1282,0.95455384,1377.880369901657,-0.021722553,4,759.03,0.008416269,0.16,0.02132984,0.8823499381542206,0.0
864256,1288,1.0087128,1382.2674870491028,-0.026021343,6,758.21,0.009053455,0.16,0.015563918,0.9096949994564056,0.0
868352,1293,0.95568895,1387.0062839984894,-0.024672646,5,761.59,0.008456043,0.28,0.019033065,0.9105342701077461,0.0
872448,1299,1.0093343,1391.545893907547,-0.025217786,6,760.31,0.007756135,0.3,0.020942083,0.8637356907129288,0.0
