Wall time,Step,Value
1658651808.0059838,1210951,-5.0
1658651822.4262207,1218646,-5.0
1658651841.0534027,1228587,-5.0
1658651847.6858916,1232126,-5.0
1658652127.9048052,1255289,-5.0
1658652130.9214811,1256959,-5.0
1658652132.2537796,1257682,-4.0
1658652141.3438218,1262571,-4.0
1658652145.7658148,1264923,-5.0
1658652154.5697916,1269624,-5.0
1658652218.114056,1303844,-5.0
1658652225.3246758,1307730,-4.0
1658652236.2361245,1313695,-5.0
1658652259.2182844,1326381,-5.0
1658652264.0703743,1329066,-5.0
1658652272.4172487,1333752,-5.0
1658652281.076193,1338580,-5.0
1658652285.3051429,1340919,-5.0
1658652307.390101,1353388,-5.0
1658652314.7377505,1357476,-4.0
1658652316.0260394,1358182,-4.0
1658652321.5222738,1361275,-5.0
1658652337.6929045,1370298,-5.0
1658652343.3421721,1373424,-5.0
1658652363.0656004,1384500,-5.0
1658652381.2196765,1394624,-5.0
1658652393.715481,1401536,-5.0
1658652406.8924396,1408978,-5.0
1658652434.925733,1424753,-5.0
1658652444.589903,1430203,-5.0
1658652481.8152602,1450300,-5.0
1658652483.0705495,1450969,-5.0
1658652485.6181161,1452339,-4.0
1658652534.7781515,1478919,-5.0
1658652543.8351843,1483882,-5.0
1658652553.8754392,1489309,-5.0
1658652556.64006,1490810,-5.0
1658652563.2575455,1494402,-5.0
1658652807.6784208,1508725,-5.0
1658652808.8216777,1509362,-5.0
1658652821.4675171,1516180,-4.0
1658652823.6199996,1517342,-5.0
1658652829.2552645,1520380,-5.0
1658652844.039584,1528372,-5.0
1658652850.0259283,1531625,-5.0
1658652859.7011008,1536817,-5.0
1658652875.8647301,1545557,-4.0
1658652883.783507,1549850,-5.0
1658652941.9695704,1581840,-4.0
1658652962.103091,1592624,-5.0
1658653030.7445023,1630064,-5.0
1658653035.7256207,1632786,-5.0
1658653049.5167162,1640370,-5.0
1658653087.9923556,1661479,-5.0
1658653104.3100188,1670452,-5.0
1658653143.0557153,1691813,-5.0
1658653235.9598434,1741922,-5.0
1658653464.9682572,1753416,-5.0
1658653471.847802,1757420,-5.0
1658653495.9942234,1771534,-5.0
1658653550.447449,1802390,-4.0
1658653559.482478,1807328,-5.0
1658653600.9848025,1829817,-5.0
1658653620.8762684,1840630,-3.0
1658653624.647108,1842698,-5.0
1658653632.8669605,1847152,-5.0
1658653636.9588723,1849369,-5.0
1658653670.9525042,1867757,-5.0
1658653707.1126225,1887242,-5.0
1658653771.1129913,1922009,-5.0
1658653777.446421,1925535,-5.0
1658653793.5260234,1934855,-5.0
1658653811.1259737,1945106,-5.0
1658653812.1812124,1945714,-5.0
1658653848.6453998,1966901,-5.0
1658653859.4438217,1973125,-5.0
1658653862.5185125,1974922,-5.0
1658653864.355925,1975987,-4.0
1658653866.438392,1977199,-5.0
1658653867.3315928,1977715,-5.0
1658653894.1336102,1993338,-5.0
1658654126.5537913,2013747,-5.0
1658654174.548566,2040090,-5.0
1658654208.7062354,2059898,-5.0
1658654238.4229083,2077162,-5.0
1658654244.3922484,2080625,-5.0
1658654266.8502889,2093680,-5.0
1658654285.9975884,2104858,-5.0
1658654302.7103412,2114730,-4.0
1658654319.431094,2124405,-5.0
1658654349.081752,2140948,-5.0
1658654353.3347068,2143324,-5.0
1658654382.3302164,2159424,-5.0
1658654429.6248338,2185655,-5.0
1658654453.040105,2198671,-5.0
1658654473.5897045,2210056,-5.0
1658654475.4381201,2211082,-5.0
1658654478.1427271,2212585,-5.0
1658654484.6261914,2216228,-5.0
1658654516.0682418,2233431,-5.0
1658654531.0626085,2241611,-5.0
1658654808.5669193,2276963,-5.0
1658654812.5798204,2279198,-5.0
1658654825.7877932,2286456,-5.0
1658654860.6686087,2305534,-4.0
1658654868.360335,2309733,-5.0
1658654883.975849,2318286,-5.0
1658654890.2352467,2321674,-5.0
1658654908.4093351,2331555,-5.0
1658654914.680744,2334989,-5.0
1658654917.2113037,2336404,-5.0
1658654928.5778556,2342629,-5.0
1658654964.99003,2363357,-5.0
1658654976.7926803,2370272,-5.0
1658655029.2774644,2400821,-5.0
1658655040.7020285,2407498,-5.0
1658655058.5830429,2418004,-4.0
1658655089.7520564,2436067,-5.0
1658655131.1403325,2459443,-5.0
1658655144.7123797,2467143,-5.0
1658655147.6460388,2468816,-5.0
1658655431.7618268,2504639,-5.0
1658655436.3508575,2507335,-5.0
1658655448.1074953,2514213,-5.0
1658655530.4499846,2560424,-5.0
1658655543.5819387,2567502,-4.0
1658655545.048261,2568282,-5.0
1658655547.1007285,2569385,-5.0
1658655552.53094,2572339,-5.0
1658655553.454155,2572845,-5.0
1658655582.6727147,2588591,-5.0
1658655588.4840198,2591712,-5.0
1658655591.977804,2593610,-4.0
1658655601.6679795,2598813,-5.0
1658655624.3740692,2611103,-5.0
1658655628.0188956,2613101,-5.0
1658655629.2821715,2613789,-5.0
1658655648.0753987,2623941,-5.0
1658655674.5733404,2638257,-5.0
1658655690.7859888,2646970,-5.0
1658655692.8634455,2648099,-5.0
1658655751.3575795,2681038,-4.0
1658655777.7335014,2696369,-4.0
1658655785.1261609,2700653,-5.0
1658655790.3853414,2703711,-5.0
1658655817.8735118,2719668,-5.0
1658655821.1012373,2721533,-5.0
1658656088.7753334,2758445,-5.0
1658656106.1972454,2768202,-4.0
1658656127.7660875,2780708,-5.0
1658656130.8387773,2782485,-5.0
1658656179.7457566,2810820,-4.0
1658656182.6944196,2812552,-5.0
1658656201.0185335,2823186,-5.0
1658656235.4062536,2843145,-4.0
1658656266.9353323,2860643,-5.0
1658656276.161404,2865666,-5.0
1658656280.4873743,2868009,-3.0
1658656288.9222693,2872637,-5.0
1658656300.5248811,2879063,-5.0
1658656328.1660807,2894386,-5.0
1658656333.8933656,2897518,-5.0
1658656353.1846957,2908081,-5.0
1658656371.1337256,2918019,-4.0
1658656380.2537732,2923044,-5.0
1658656390.2600203,2928540,-4.0
1658656412.9900987,2941155,-5.0
1658656414.1223528,2941773,-5.0
1658656429.4137955,2950266,-5.0
1658656431.7253053,2951530,-5.0
1658656471.365205,2973671,-5.0
1658656486.379575,2982010,-5.0
1658656506.2800436,2993091,-5.0
1658656728.1638587,3007304,-5.0
1658656750.9549756,3019766,-5.0
1658656804.056912,3048908,-5.0
1658656814.1831713,3054567,-5.0
1658656818.072053,3056707,-5.0
1658656880.0589607,3090813,-5.0
1658656900.8766341,3102596,-5.0
1658656902.8940887,3103784,-5.0
1658656904.1423688,3104513,-5.0
