total_timesteps,value_loss,nupdates,explained_variance,fps,policy_entropy,ep_reward_mean,ep_len_mean
653000,0.00011687458027154207,130600,-0.47364211082458496,760,2.0614452362060547,-4.94,592.53
653500,0.0019945718813687563,130700,-22.322996139526367,761,2.0724294185638428,-4.94,593.22
654000,0.000547887000720948,130800,-0.8236867189407349,761,2.0584464073181152,-4.94,593.86
654500,0.0008560118149034679,130900,-0.7911392450332642,761,2.050387144088745,-4.94,593.86
655000,0.0001968195865629241,131000,-0.5152695178985596,762,2.0713348388671875,-4.94,594.6
655500,0.0004208193568047136,131100,0.23903107643127441,762,2.065187454223633,-4.94,597.19
656000,3.692493919515982e-05,131200,0.04842144250869751,762,2.069105625152588,-4.94,598.93
656500,0.003983658738434315,131300,-8.620949745178223,763,2.073847532272339,-4.94,598.93
657000,0.00029141356935724616,131400,-0.48809313774108887,763,1.9865236282348633,-4.94,599.67
657500,0.009543662890791893,131500,0.9165179952979088,763,2.0337986946105957,-4.94,604.61
658000,7.35657085897401e-05,131600,-0.4528006315231323,764,2.0579328536987305,-4.94,603.23
658500,0.00020834922906942666,131700,0.49091851711273193,764,2.064992904663086,-4.94,603.23
659000,0.0003350959741510451,131800,-0.8750330209732056,764,2.0612952709198,-4.94,602.88
659500,8.312987120007165e-06,131900,0.6136500537395477,765,2.0444283485412598,-4.94,604.07
660000,9.970441169571131e-05,132000,-0.3697507381439209,765,2.0756075382232666,-4.95,602.88
660500,0.0001377645239699632,132100,0.5835752785205841,765,2.0757038593292236,-4.95,603.67
661000,1.716780025162734e-05,132200,0.7094234228134155,766,2.054652690887451,-4.95,603.67
661500,0.00013590746675617993,132300,0.2094630002975464,766,2.073190689086914,-4.94,605.84
662000,3.414386810618453e-05,132400,-0.83415687084198,766,2.0469534397125244,-4.94,605.42
662500,0.0008457616786472499,132500,-3.580811023712158,766,2.061769962310791,-4.94,607.48
663000,0.00013614867930300534,132600,-3.2411890029907227,767,2.0655765533447266,-4.94,607.48
663500,0.15553827583789825,132700,-0.009887099266052246,767,1.8861401081085205,-4.94,609.12
664000,2.1161098629818298e-05,132800,0.9970425984356552,767,1.9910215139389038,-4.93,612.22
664500,4.624976645573042e-05,132900,0.4458203911781311,768,2.0600101947784424,-4.93,609.59
665000,7.568571891169995e-05,133000,-0.14758193492889404,768,2.0739352703094482,-4.93,608.36
665500,0.00041979303932748735,133100,-0.18088936805725098,768,2.0770487785339355,-4.93,608.36
666000,0.0002163109602406621,133200,-0.2286745309829712,769,2.051429271697998,-4.92,608.98
666500,0.0010557158384472132,133300,-2.3870902061462402,769,2.04318904876709,-4.92,609.77
667000,0.0014695178251713514,133400,-1.2855441570281982,769,2.0666556358337402,-4.92,606.72
667500,7.207710586953908e-05,133500,0.6667309701442719,770,2.0780422687530518,-4.92,605.66
668000,0.017895622178912163,133600,0.924344390630722,770,2.045055389404297,-4.92,605.04
668500,0.0001645177835598588,133700,0.7491192817687988,770,2.073662281036377,-4.92,605.04
669000,6.918865256011486e-05,133800,-0.11051630973815918,771,2.0740389823913574,-4.91,605.91
669500,0.00015665750834159553,133900,0.47506725788116455,771,2.075855016708374,-4.91,602.88
670000,0.00010801451571751386,134000,0.9926186366938055,771,2.07218599319458,-4.91,602.34
670500,6.68820139253512e-05,134100,0.9167918041348457,772,2.0649635791778564,-4.9,602.18
671000,1.0117388228536583e-05,134200,0.9752447344362736,772,2.065725803375244,-4.89,601.6
671500,0.0003463326720520854,134300,0.028303802013397217,772,2.069906711578369,-4.89,601.45
672000,7.675175584154204e-05,134400,0.8768588528037071,773,2.053852081298828,-4.9,598.81
672500,0.00016814844275359064,134500,0.030671417713165283,773,2.013179302215576,-4.9,600.24
673000,0.0007645431323908269,134600,-2.6760592460632324,773,2.053342342376709,-4.9,599.08
673500,0.0002304982190253213,134700,0.4856857657432556,774,2.055326461791992,-4.9,599.08
674000,0.00034166715340688825,134800,0.11754858493804932,774,2.075984477996826,-4.89,601.35
674500,8.170653745764866e-05,134900,-3.875,774,2.0749313831329346,-4.89,599.3
675000,0.00046822716831229627,135000,-0.06474041938781738,775,2.0770535469055176,-4.89,597.92
675500,0.0008133550873026252,135100,0.49820226430892944,775,2.0718796253204346,-4.89,598.27
676000,0.00040528798126615584,135200,0.6792696118354797,775,2.0674424171447754,-4.89,597.14
676500,0.0008913682540878654,135300,-2.6502764225006104,776,2.0693812370300293,-4.89,597.14
677000,0.0001495482138125226,135400,-0.018993854522705078,776,2.0689260959625244,-4.89,598.74
677500,1.447671547794016e-05,135500,0.805962085723877,776,2.075693130493164,-4.89,600.82
678000,9.883668826660141e-05,135600,0.3625295162200928,777,2.0642523765563965,-4.89,601.03
678500,7.581872341688722e-05,135700,0.6718275845050812,777,2.059549570083618,-4.89,598.15
679000,0.0005989073542878032,135800,0.34715908765792847,777,2.0443613529205322,-4.88,596.88
679500,5.771801806986332e-05,135900,0.4940018653869629,777,2.0676918029785156,-4.88,596.88
680000,0.00017431806190870702,136000,-0.8117383718490601,778,2.023524284362793,-4.88,598.76
